date,open,high,low,close,volume
2025-07-15,560.25,560.8,556.66,556.72,43277700
2025-07-16,557.28,560.21,551.56,557.29,52314711
2025-07-17,558.02,562.31,557.21,561.8,40423800
2025-07-18,563.12,564.73,559.98,561.26,50484704
2025-07-21,562.09,566.06,562.06,564.17,39595214
2025-07-22,564.3,564.35,558.61,561.25,43270647
2025-07-23,562.34,563.85,559.58,563.81,40215300
2025-07-24,565.13,566.24,563.29,565.01,42275541
2025-07-25,564.93,567.7,564.27,566.37,30630813
2025-07-28,567.74,569.04,566.87,568.14,31498739
2025-07-29,570.76,572.11,566.53,567.26,45463317
2025-07-30,568.18,570.62,565.05,568.02,43433800
2025-07-31,574.54,574.63,563.87,565.01,64613600
2025-08-01,558.83,559.02,551.68,553.88,69400800
2025-08-04,559.05,564.32,558.95,564.1,47669800
2025-08-05,565.39,566.56,559.73,560.27,48666640
2025-08-06,561.11,567.76,560.63,567.32,41823700
2025-08-07,571.67,573.32,565.11,569.24,44463000
2025-08-08,570.45,574.77,570.15,574.55,35255500
2025-08-11,574.69,576.8,571.57,572.85,33112917
2025-08-12,575.16,580.35,572.49,580.05,42271441
2025-08-13,582.76,583.32,578.94,580.34,41209300
2025-08-14,578.28,581.88,577.91,579.89,45425043
2025-08-15,579.8,579.84,575.57,577.34,49480200
2025-08-18,576.44,577.77,575.24,577.11,29831000
2025-08-19,576.39,576.56,568.25,569.28,53752635
2025-08-20,568.33,568.45,558.84,565.9,76781100
2025-08-21,564.35,566.49,560.98,563.28,46436900
2025-08-22,564.67,573.99,563.27,571.97,51502129
2025-08-25,570.4,573.29,569.16,570.32,34044749
2025-08-26,569.83,572.92,568.8,572.61,34103014
2025-08-27,571.59,574.41,570.37,573.49,36927144
2025-08-28,574.11,578,572.46,577.08,46787900
2025-08-29,574.66,575.03,568.54,570.4,56030409
2025-09-02,561.31,565.97,559.54,565.62,65876800
2025-09-03,569.23,571.7,566.73,570.07,54230213
2025-09-04,570.74,575.6,569.03,575.23,47526300
2025-09-05,580.49,581.12,571.53,576.06,68342532
2025-09-08,578.37,580.84,577.77,578.87,46371400
2025-09-09,579.67,580.94,577.04,580.51,44007600
2025-09-10,583.74,583.77,578.55,580.7,49308000
2025-09-11,583.24,584.88,581.62,584.08,44745800
2025-09-12,585.04,587.86,584.1,586.66,50745900
2025-09-15,588.44,591.79,588.29,591.68,44360315
2025-09-16,592.61,592.86,590.49,591.18,36942130
2025-09-17,591.1,591.75,584.37,590,69384820
2025-09-18,594.91,598.14,592.96,595.32,61069300
2025-09-19,597.33,600.05,595.85,599.35,58196109
2025-09-22,597.74,602.87,597.72,602.2,57154800
2025-09-23,602.37,602.57,596.98,598.2,64635500
